lon,lat,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
116.45163,39.89503,792,1,89,0.85,9,341,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
117.17231,40.68434,1201,1,2,0.1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.422,39.93213,389,3,259,2.7,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.43577,39.93357,376,1,26,0.28,5,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.43798,39.93668,537,1,37,0.4,5,352,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.43485,39.93958,403,1,29,0.33,7,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.45089,39.93712,637,3,107,1.26,1,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.44122,39.94115,416,1,3,0.03,9,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.44227,39.94032,416,1,37,0.43,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.43362,39.93943,396,1,34,0.43,7,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.43545,39.93946,550,1,3,0.04,7,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.44066,39.93849,436,1,11,0.13,9,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.44896,39.89403,859,1,4,0.07,9,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.41837,39.91342,906,1,155,1.85,1,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.44248,39.93848,436,1,8,0.1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.44128,39.93967,483,1,5,0.06,9,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.43682,39.93516,376,1,4,0.06,5,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.44175,39.94059,416,2,15,0.18,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.4412,39.93879,416,1,8,0.1,9,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.34887,39.94956,396,1,1,0.01,1,347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
116.48154,39.90133,429,1,7,0.16,9,354,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.3892,39.85983,302,12,24,0.32,1,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.34326,39.94612,1060,2,69,0.9,1,157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116.48338,39.89854,409,1,2,0.04,9,355,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.39128999999998,39.939,289,1,117,1.55,4,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.39094,39.93923,262,2,110,1.45,4,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.39161,39.93946,242,2,186,2.46,4,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117.17304,40.68602,678,1,4,0.16,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.39265,39.94632,664,1,12,0.17,2,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.54955,40.1044,617,1,0,0.0,2,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
116.42345,39.93994,490,1,99,1.38,5,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.43792,39.94012,416,1,14,0.19,9,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.43538999999998,39.93795,557,1,19,0.26,7,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.43564,39.90366,705,1,202,2.8,2,352,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.25927,39.92637,154,2,77,1.1,1,174,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
116.45479,39.91731,966,1,33,0.88,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.41932,39.91901,503,1,8,0.2,5,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.42247,39.92155,134,1,12,0.43,5,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.42047,39.9208,510,1,36,0.56,5,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.42236,39.92088,597,1,1,0.07,4,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.44387,39.91924,436,2,88,1.29,1,317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45172,39.89485,859,1,46,0.68,9,355,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45131,39.89504,738,1,63,0.95,9,338,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.49936,39.99381,255,2,23,0.33,5,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.42054,39.92062,711,1,2,0.05,4,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.42229,39.92051,980,1,2,0.04,4,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
